[2020-08-30 14:23:36] [info]  [ 6288] Apache Commons Daemon procrun finished.
[2020-08-30 14:24:28] [info]  [ 1344] Apache Commons Daemon procrun (1.2.2.0 64-bit) started.
[2020-08-30 14:24:28] [info]  [ 1344] Running Service 'Tomcat9'...
[2020-08-30 14:24:28] [info]  [ 2208] Starting service...
[2020-08-30 14:24:30] [info]  [ 2208] Service started in 1472 milliseconds.
[2020-08-30 14:27:06] [info]  [ 9384] Stopping service...
[2020-08-30 14:27:07] [info]  [ 9384] Service stop thread completed.
[2020-08-30 14:27:08] [info]  [ 1344] Run service finished.
[2020-08-30 14:27:08] [info]  [ 1344] Apache Commons Daemon procrun finished.
[2020-08-30 14:27:22] [info]  [12444] Apache Commons Daemon procrun (1.2.2.0 64-bit) started.
[2020-08-30 14:27:23] [info]  [12444] Running Service 'Tomcat9'...
[2020-08-30 14:27:23] [info]  [ 6472] Starting service...
[2020-08-30 14:27:24] [info]  [ 6472] Service started in 1608 milliseconds.
[2020-08-30 14:30:13] [info]  [ 7956] Stopping service...
[2020-08-30 14:30:15] [info]  [ 7956] Service stop thread completed.
[2020-08-30 14:30:15] [info]  [12444] Run service finished.
[2020-08-30 14:30:15] [info]  [12444] Apache Commons Daemon procrun finished.
[2020-08-30 14:30:20] [info]  [ 9924] Apache Commons Daemon procrun (1.2.2.0 64-bit) started.
[2020-08-30 14:30:20] [info]  [ 9924] Running Service 'Tomcat9'...
[2020-08-30 14:30:20] [info]  [ 6160] Starting service...
[2020-08-30 14:30:21] [info]  [ 6160] Service started in 1679 milliseconds.
[2020-08-30 14:32:01] [info]  [ 5492] Stopping service...
[2020-08-30 14:32:02] [info]  [ 5492] Service stop thread completed.
[2020-08-30 14:32:02] [info]  [ 9924] Run service finished.
[2020-08-30 14:32:02] [info]  [ 9924] Apache Commons Daemon procrun finished.
[2020-08-30 14:32:11] [info]  [ 6664] Apache Commons Daemon procrun (1.2.2.0 64-bit) started.
[2020-08-30 14:32:11] [info]  [ 6664] Running Service 'Tomcat9'...
[2020-08-30 14:32:11] [info]  [ 1204] Starting service...
[2020-08-30 14:32:13] [info]  [ 1204] Service started in 1795 milliseconds.
[2020-08-30 14:33:00] [info]  [11012] Stopping service...
[2020-08-30 14:33:01] [info]  [11012] Service stop thread completed.
[2020-08-30 14:33:01] [info]  [ 6664] Run service finished.
[2020-08-30 14:33:01] [info]  [ 6664] Apache Commons Daemon procrun finished.
[2020-08-30 14:33:22] [info]  [11708] Apache Commons Daemon procrun (1.2.2.0 64-bit) started.
[2020-08-30 14:33:22] [info]  [11708] Running Service 'Tomcat9'...
[2020-08-30 14:33:22] [info]  [ 5680] Starting service...
[2020-08-30 14:33:24] [info]  [ 5680] Service started in 1838 milliseconds.
[2020-08-30 14:43:22] [info]  [ 2500] Stopping service...
[2020-08-30 14:43:24] [info]  [ 2500] Service stop thread completed.
[2020-08-30 14:43:24] [info]  [11708] Run service finished.
[2020-08-30 14:43:24] [info]  [11708] Apache Commons Daemon procrun finished.
